2026-09-13 14:47:20,421 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c09_stress_20250408_do_not_sell
2026-09-13 14:51:13,379 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c09_stress_20250408_do_not_sell qaoa seeds=10/10 wall=171.4s unique=2316 mass_opt={'qubo_optimum': 0.05537109375, 'true_grid_optimum': 0.05537109375}
2026-09-13 14:52:12,614 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c09_stress_20250408_do_not_sell qaoa_transfer seeds=10/10 wall=59.0s unique=894 mass_opt={'qubo_optimum': 0.14453125, 'true_grid_optimum': 0.14453125}
2026-09-13 14:52:19,304 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c10_normal_20250708_do_not_sell
2026-09-13 14:56:19,645 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c10_normal_20250708_do_not_sell qaoa seeds=10/10 wall=178.6s unique=2361 mass_opt={'qubo_optimum': 0.0509765625, 'true_grid_optimum': 0.0509765625}
2026-09-13 14:57:19,955 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c10_normal_20250708_do_not_sell qaoa_transfer seeds=10/10 wall=60.0s unique=1488 mass_opt={'qubo_optimum': 0.07734375, 'true_grid_optimum': 0.07734375}
2026-09-13 14:57:26,762 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c11_volatile_20240809_liquidity_constrained
2026-09-13 15:01:43,257 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c11_volatile_20240809_liquidity_constrained qaoa seeds=10/10 wall=194.5s unique=1461 mass_opt={'qubo_optimum': 0.115625, 'true_grid_optimum': 0.115625}
2026-09-13 15:02:42,166 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c11_volatile_20240809_liquidity_constrained qaoa_transfer seeds=10/10 wall=58.7s unique=543 mass_opt={'qubo_optimum': 0.20966796875, 'true_grid_optimum': 0.20966796875}
2026-09-13 15:02:48,828 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c12_stress_20250509_banking_concentrated
2026-09-13 15:06:53,982 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c12_stress_20250509_banking_concentrated qaoa seeds=10/10 wall=187.0s unique=1108 mass_opt={'qubo_optimum': 0.1373046875, 'true_grid_optimum': 0.00185546875}
2026-09-13 15:07:52,798 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c12_stress_20250509_banking_concentrated qaoa_transfer seeds=10/10 wall=58.6s unique=284 mass_opt={'qubo_optimum': 0.26162109375, 'true_grid_optimum': 0.0001953125}
2026-09-13 15:07:58,757 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c13_normal_20250805_banking_concentrated
2026-09-13 15:12:14,515 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c13_normal_20250805_banking_concentrated qaoa seeds=10/10 wall=193.9s unique=1622 mass_opt={'qubo_optimum': 0.10322265625, 'true_grid_optimum': 0.0009765625}
2026-09-13 15:13:13,959 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c13_normal_20250805_banking_concentrated qaoa_transfer seeds=10/10 wall=59.3s unique=212 mass_opt={'qubo_optimum': 0.27705078125, 'true_grid_optimum': 9.765625e-05}
2026-09-13 15:13:19,860 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c14_volatile_20241008_high_volatility
2026-09-13 15:17:05,187 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c14_volatile_20241008_high_volatility qaoa seeds=10/10 wall=167.9s unique=2626 mass_opt={'qubo_optimum': 0.0783203125, 'true_grid_optimum': 0.0783203125}
2026-09-13 15:18:05,140 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c14_volatile_20241008_high_volatility qaoa_transfer seeds=10/10 wall=59.6s unique=851 mass_opt={'qubo_optimum': 0.1490234375, 'true_grid_optimum': 0.1490234375}
2026-09-13 15:18:12,195 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c15_stress_20250408_liquidity_constrained
2026-09-13 15:22:25,546 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c15_stress_20250408_liquidity_constrained qaoa seeds=10/10 wall=192.5s unique=1870 mass_opt={'qubo_optimum': 0.06328125, 'true_grid_optimum': 0.00078125}
2026-09-13 15:23:25,071 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c15_stress_20250408_liquidity_constrained qaoa_transfer seeds=10/10 wall=59.3s unique=709 mass_opt={'qubo_optimum': 0.169140625, 'true_grid_optimum': 0.00205078125}
2026-09-13 15:23:31,597 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c16_normal_20250904_do_not_sell
2026-09-13 15:27:34,253 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c16_normal_20250904_do_not_sell qaoa seeds=10/10 wall=181.4s unique=2471 mass_opt={'qubo_optimum': 0.0736328125, 'true_grid_optimum': 0.0736328125}
2026-09-13 15:28:33,903 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c16_normal_20250904_do_not_sell qaoa_transfer seeds=10/10 wall=59.4s unique=694 mass_opt={'qubo_optimum': 0.159375, 'true_grid_optimum': 0.159375}
2026-09-13 15:28:40,587 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c17_volatile_20241203_liquidity_constrained
2026-09-13 15:32:50,991 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c17_volatile_20241203_liquidity_constrained qaoa seeds=10/10 wall=188.5s unique=1708 mass_opt={'qubo_optimum': 0.11455078125, 'true_grid_optimum': 0.11455078125}
2026-09-13 15:33:50,056 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c17_volatile_20241203_liquidity_constrained qaoa_transfer seeds=10/10 wall=58.8s unique=553 mass_opt={'qubo_optimum': 0.20419921875, 'true_grid_optimum': 0.20419921875}
2026-09-13 15:33:56,793 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c18_stress_20250509_high_volatility
2026-09-13 15:38:19,459 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c18_stress_20250509_high_volatility qaoa seeds=10/10 wall=201.8s unique=1464 mass_opt={'qubo_optimum': 0.11142578125, 'true_grid_optimum': 0.11142578125}
2026-09-13 15:39:18,089 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c18_stress_20250509_high_volatility qaoa_transfer seeds=10/10 wall=58.4s unique=404 mass_opt={'qubo_optimum': 0.2359375, 'true_grid_optimum': 0.2359375}
2026-09-13 15:39:24,661 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c19_normal_20251002_banking_concentrated
