date,ticker,exchange,simple_return,band,tolerance,excess
2025-09-16,MSN,HOSE,0.0792682926829269,0.07,0.005,0.009268292682926893
2021-07-09,CTG,HOSE,-0.07912456902478315,0.07,0.005,0.009124569024783147
2019-07-17,VRE,HOSE,0.07871722557596095,0.07,0.005,0.00871722557596094
2021-07-19,TCB,HOSE,-0.07869494889600592,0.07,0.005,0.008694948896005916
2025-06-09,VIC,HOSE,-0.07857142857142863,0.07,0.005,0.008571428571428619
2021-07-19,CTG,HOSE,-0.07857138938946473,0.07,0.005,0.008571389389464723
2025-09-08,SSB,HOSE,-0.07852187918797604,0.07,0.005,0.008521879187976034
2021-09-09,MWG,HOSE,0.07796918344722581,0.07,0.005,0.007969183447225803
2025-05-14,TPB,HOSE,-0.07796611442024548,0.07,0.005,0.007966114420245474
2025-10-20,HPG,HOSE,-0.07787612209412498,0.07,0.005,0.007876122094124971
2018-06-20,GVR,UPCOM,0.15771812080536907,0.15,0.005,0.007718120805369072
2021-02-17,STB,HOSE,0.07758620689655182,0.07,0.005,0.007586206896551817
2025-10-20,STB,HOSE,-0.07731092436974785,0.07,0.005,0.00731092436974784
2025-12-26,VRE,HOSE,-0.07647906367728041,0.07,0.005,0.0064790636772804056
2021-07-09,STB,HOSE,-0.07619047619047614,0.07,0.005,0.006190476190476135
2025-08-11,MSN,HOSE,0.07611548556430447,0.07,0.005,0.006115485564304468
2019-02-21,VRE,HOSE,0.07594936021914789,0.07,0.005,0.005949360219147881
2021-06-09,SSB,HOSE,-0.07586203570297967,0.07,0.005,0.005862035702979662
2021-07-09,VIC,HOSE,-0.07574466359919663,0.07,0.005,0.00574466359919662
2024-06-04,STB,HOSE,0.07540394973070019,0.07,0.005,0.005403949730700186
