instance_id,track_target,status_target,polished_best_true_objective_target,polished_best_feasible_target,j_no_action_target,improvement_scale_target,target_regime_target,final_target,track_baseline,status_baseline,polished_best_true_objective_baseline,polished_best_feasible_baseline,j_no_action_baseline,improvement_scale_baseline,target_regime_baseline,final_baseline,uplift,uplift_normalized,comparison,target
c12_stress_20250509_banking_concentrated,qaoa,OK,0.8944696107717903,True,1.3182767277502734,0.42380711697848306,stress,0.8944696107717903,random_stratified,OK,0.8950489166050095,True,1.3182767277502734,0.42380711697848306,stress,0.8950489166050095,0.0005793058332191903,0.0013669091669562547,qaoa_vs_random_stratified,qaoa
c13_normal_20250805_banking_concentrated,qaoa,OK,1.4299665041927965,True,1.928195257768965,0.49822875357616847,normal,1.4299665041927965,random_stratified,OK,1.4300731292568365,True,1.928195257768965,0.49822875357616847,normal,1.4300731292568365,0.00010662506404002237,0.00021400825077776584,qaoa_vs_random_stratified,qaoa
c15_stress_20250408_liquidity_constrained,qaoa,OK,0.951592031876495,True,1.0360964103899213,0.08450437851342629,stress,0.951592031876495,random_stratified,OK,0.955615596313336,True,1.0360964103899213,0.08450437851342629,stress,0.955615596313336,0.004023564436841043,0.04761367999649589,qaoa_vs_random_stratified,qaoa
c16_normal_20250904_do_not_sell,qaoa,OK,1.2867431886479914,True,1.4172933066030726,0.1305501179550812,normal,1.2867431886479914,random_stratified,OK,1.2908743130468194,True,1.4172933066030726,0.1305501179550812,normal,1.2908743130468194,0.004131124398828012,0.0316439729319082,qaoa_vs_random_stratified,qaoa
c18_stress_20250509_high_volatility,qaoa,OK,1.032332809050596,True,1.4565255581667746,0.42419274911617855,stress,1.032332809050596,random_stratified,OK,1.0474940647534725,True,1.4565255581667746,0.42419274911617855,stress,1.0474940647534725,0.015161255702876408,0.03574143059839059,qaoa_vs_random_stratified,qaoa
c19_normal_20251002_banking_concentrated,qaoa,OK,1.2902932872323971,True,1.7730936788886833,0.48280039165628597,normal,1.2902932872323971,random_stratified,OK,1.2913423954392098,True,1.7730936788886833,0.48280039165628597,normal,1.2913423954392098,0.001049108206812699,0.0021729646970948964,qaoa_vs_random_stratified,qaoa
c21_normal_20260114_high_cash,qaoa,OK,1.137798054227838,True,1.4352617177169624,0.29746366348912456,normal,1.137798054227838,random_stratified,OK,1.14978921033169,True,1.4352617177169624,0.29746366348912456,normal,1.14978921033169,0.01199115610385193,0.04031133067884889,qaoa_vs_random_stratified,qaoa
c23_normal_20260211_liquidity_constrained,qaoa,OK,1.270195406099627,True,1.392163129872688,0.12196772377306098,normal,1.270195406099627,random_stratified,OK,1.274673483044976,True,1.392163129872688,0.12196772377306098,normal,1.274673483044976,0.004478076945348963,0.036715262094101954,qaoa_vs_random_stratified,qaoa
c25_normal_20260622_banking_concentrated,qaoa,OK,1.3071729869859308,True,1.7961445698544565,0.4889715828685257,normal,1.3071729869859308,random_stratified,OK,1.308145611673012,True,1.7961445698544565,0.4889715828685257,normal,1.308145611673012,0.0009726246870811472,0.0019891231334452945,qaoa_vs_random_stratified,qaoa
c27_normal_20240222_do_not_sell,qaoa,OK,1.1760250870080995,True,1.3004114341961426,0.12438634718804287,normal,1.1760250870080995,random_stratified,OK,1.1799204030099617,True,1.3004114341961426,0.12438634718804287,normal,1.1799204030099617,0.0038953160018622146,0.03131626653505158,qaoa_vs_random_stratified,qaoa
c29_normal_20240321_diversified,qaoa,OK,1.1537487931548769,True,1.5433272426998297,0.3895784495449528,normal,1.1537487931548769,random_stratified,OK,1.1692049665055515,True,1.5433272426998297,0.3895784495449528,normal,1.1692049665055515,0.015456173350674618,0.03967409739611676,qaoa_vs_random_stratified,qaoa
c01_normal_20240222_banking_concentrated,qaoa,OK,1.211222690888393,True,1.705472386378514,0.494249695490121,normal,1.211222690888393,boltzmann,OK,1.211222690888393,True,1.705472386378514,0.494249695490121,normal,1.211222690888393,0.0,0.0,qaoa_vs_boltzmann,qaoa
c02_volatile_20240102_high_volatility,qaoa,OK,1.3288236703132834,True,1.8490127913929046,0.5201891210796212,volatile,1.3288236703132834,boltzmann,OK,1.3288236703132834,True,1.8490127913929046,0.5201891210796212,volatile,1.3288236703132834,0.0,0.0,qaoa_vs_boltzmann,qaoa
c03_stress_20250408_high_cash,qaoa,OK,0.8659936772869996,True,1.1453970398815865,0.27940336259458687,stress,0.8659936772869996,boltzmann,OK,0.8659936772869996,True,1.1453970398815865,0.27940336259458687,stress,0.8659936772869996,0.0,0.0,qaoa_vs_boltzmann,qaoa
c04_normal_20240321_do_not_sell,qaoa,OK,1.1947637678328034,True,1.3162001595726194,0.12143639173981602,normal,1.1947637678328034,boltzmann,OK,1.1947637678328034,True,1.3162001595726194,0.12143639173981602,normal,1.1947637678328034,0.0,0.0,qaoa_vs_boltzmann,qaoa
c05_volatile_20240415_liquidity_constrained,qaoa,OK,1.2591453019578216,True,1.3960039170998229,0.13685861514200126,volatile,1.2591453019578216,boltzmann,OK,1.2591453019578216,True,1.3960039170998229,0.13685861514200126,volatile,1.2591453019578216,0.0,0.0,qaoa_vs_boltzmann,qaoa
c06_stress_20250509_diversified,qaoa,OK,0.9907752819218852,True,1.3648950661997814,0.37411978427789616,stress,0.9907752819218852,boltzmann,OK,0.9907752819218852,True,1.3648950661997814,0.37411978427789616,stress,0.9907752819218852,0.0,0.0,qaoa_vs_boltzmann,qaoa
c07_normal_20250311_banking_concentrated,qaoa,OK,1.1715554339130745,True,1.6544631316383933,0.48290769772531905,normal,1.1715554339130745,boltzmann,OK,1.1715554339130745,True,1.6544631316383933,0.48290769772531905,normal,1.1715554339130745,0.0,0.0,qaoa_vs_boltzmann,qaoa
c09_stress_20250408_do_not_sell,qaoa,OK,1.0331563393410574,True,1.1382224729774164,0.10506613363635897,stress,1.0331563393410574,boltzmann,OK,1.0331563393410574,True,1.1382224729774164,0.10506613363635897,stress,1.0331563393410574,0.0,0.0,qaoa_vs_boltzmann,qaoa
c10_normal_20250708_do_not_sell,qaoa,OK,1.4561127542633252,True,1.6275326866931152,0.17141993242979003,normal,1.4561127542633252,boltzmann,OK,1.4561127542633252,True,1.6275326866931152,0.17141993242979003,normal,1.4561127542633252,0.0,0.0,qaoa_vs_boltzmann,qaoa
c12_stress_20250509_banking_concentrated,qaoa,OK,0.8944696107717903,True,1.3182767277502734,0.42380711697848306,stress,0.8944696107717903,boltzmann,OK,0.8944696107717903,True,1.3182767277502734,0.42380711697848306,stress,0.8944696107717903,0.0,0.0,qaoa_vs_boltzmann,qaoa
c13_normal_20250805_banking_concentrated,qaoa,OK,1.4299665041927965,True,1.928195257768965,0.49822875357616847,normal,1.4299665041927965,boltzmann,OK,1.4299665041927965,True,1.928195257768965,0.49822875357616847,normal,1.4299665041927965,0.0,0.0,qaoa_vs_boltzmann,qaoa
c15_stress_20250408_liquidity_constrained,qaoa,OK,0.951592031876495,True,1.0360964103899213,0.08450437851342629,stress,0.951592031876495,boltzmann,OK,0.951592031876495,True,1.0360964103899213,0.08450437851342629,stress,0.951592031876495,0.0,0.0,qaoa_vs_boltzmann,qaoa
c16_normal_20250904_do_not_sell,qaoa,OK,1.2867431886479914,True,1.4172933066030726,0.1305501179550812,normal,1.2867431886479914,boltzmann,OK,1.2867431886479914,True,1.4172933066030726,0.1305501179550812,normal,1.2867431886479914,0.0,0.0,qaoa_vs_boltzmann,qaoa
c18_stress_20250509_high_volatility,qaoa,OK,1.032332809050596,True,1.4565255581667746,0.42419274911617855,stress,1.032332809050596,boltzmann,OK,1.032332809050596,True,1.4565255581667746,0.42419274911617855,stress,1.032332809050596,0.0,0.0,qaoa_vs_boltzmann,qaoa
c19_normal_20251002_banking_concentrated,qaoa,OK,1.2902932872323971,True,1.7730936788886833,0.48280039165628597,normal,1.2902932872323971,boltzmann,OK,1.2902932872323971,True,1.7730936788886833,0.48280039165628597,normal,1.2902932872323971,0.0,0.0,qaoa_vs_boltzmann,qaoa
c21_normal_20260114_high_cash,qaoa,OK,1.137798054227838,True,1.4352617177169624,0.29746366348912456,normal,1.137798054227838,boltzmann,OK,1.137798054227838,True,1.4352617177169624,0.29746366348912456,normal,1.137798054227838,0.0,0.0,qaoa_vs_boltzmann,qaoa
c23_normal_20260211_liquidity_constrained,qaoa,OK,1.270195406099627,True,1.392163129872688,0.12196772377306098,normal,1.270195406099627,boltzmann,OK,1.270195406099627,True,1.392163129872688,0.12196772377306098,normal,1.270195406099627,0.0,0.0,qaoa_vs_boltzmann,qaoa
c25_normal_20260622_banking_concentrated,qaoa,OK,1.3071729869859308,True,1.7961445698544565,0.4889715828685257,normal,1.3071729869859308,boltzmann,OK,1.3071729869859308,True,1.7961445698544565,0.4889715828685257,normal,1.3071729869859308,0.0,0.0,qaoa_vs_boltzmann,qaoa
c27_normal_20240222_do_not_sell,qaoa,OK,1.1760250870080995,True,1.3004114341961426,0.12438634718804287,normal,1.1760250870080995,boltzmann,OK,1.1760250870080995,True,1.3004114341961426,0.12438634718804287,normal,1.1760250870080995,0.0,0.0,qaoa_vs_boltzmann,qaoa
c29_normal_20240321_diversified,qaoa,OK,1.1537487931548769,True,1.5433272426998297,0.3895784495449528,normal,1.1537487931548769,boltzmann,OK,1.1537487931548769,True,1.5433272426998297,0.3895784495449528,normal,1.1537487931548769,0.0,0.0,qaoa_vs_boltzmann,qaoa
